"genotype","mat","media","temp","n","avgLS","StddevLS","medianLS","gompShape","gompRate","gompLogLik","gompAIC","weibShape","weibScale","weibLogLik","weibAIC","delta_LL"
"BY4742","MATalpha","YPD + 20uM compound 144",30,100,22.93,9.05790017363603,22,0.0872419649507375,0.00923360404965771,-368.444872479865,740.889744959731,2.72790967955009,25.8180941034944,-359.285119853415,722.570239706831,9.15975262644992
"BY4742","MATalpha","YPD + 40uM compound 144",30,100,22.86,9.00619315535233,22,0.0692477456090903,0.0131690201375804,-374.688470749643,753.376941499286,2.64107611732176,25.6399066346207,-360.4166470513,724.833294102599,14.2718236983434
"BY4742","MATalpha","YPD + 80uM compound 144",30,99,16.6363636363636,12.7986403498651,16,0.0280269056454939,0.0396772700613229,-372.324886795278,748.649773590557,1.20583959830955,17.6632670403106,-374.97621292531,753.952425850621,-2.65132613003209
"BY4742","MATalpha","YPD + 160uM compound 144",30,100,23.75,8.29308462064946,23.5,0.105473508608758,0.00612125381784981,-359.099252277483,722.198504554967,3.08735684044363,26.482559075544,-353.919611840486,711.839223680972,5.17964043699732
"BY4743","diploid","YPD",30,519,32.1290944123314,11.9948791096035,34,0.087359042329089,0.00344633318092324,-2005.2486280178,4014.4972560356,2.87562363513672,35.71444592584,-2050.14280619997,4104.28561239994,-44.8941781821702
"BY4743","diploid","0.05% D",30,139,32.3381294964029,12.5994904180567,34,0.0844517612529069,0.00359351376092665,-541.76818490062,1087.53636980124,2.80934193600065,36.1062386435088,-552.710307412216,1109.42061482443,-10.9421225115951
"BY4743","diploid","YPD + CLS80 Day 23 SC 0.05% D Replicate A",30,60,26.35,14.1011178785133,26,0.0546164887478314,0.0118060938015002,-239.999698269003,483.999396538006,1.76888742959788,29.1445831988031,-245.568258107799,495.136516215597,-5.56855983879589
"BY4742","MATalpha","YPD + 12.5 ug/mL Doxycycline",30,80,26.4125,9.73275007644976,27.5,0.100530879323081,0.00475083578145148,-295.533041147274,595.066082294549,2.99635467591965,29.5518120843396,-295.150158187966,594.300316375933,0.382882959308063
"BY4742","MATalpha","3% EtOH",30,100,31.71,12.4269948909703,31.5,0.0644468745888202,0.00649886536748184,-399.25172923994,802.503458479881,2.74878369150204,35.5941306401563,-392.572519719054,789.145039438109,6.67920952088599
"BY4742","MATalpha","2% Raff",30,160,23.51875,9.31622772674669,23,0.0697513177533806,0.0122034657404337,-602.491440260806,1208.98288052161,2.65150829455783,26.4084321935096,-581.654012219219,1167.30802443844,20.8374280415874
"sir2","MATalpha","2% Raff",30,60,13.5,4.7210312001956,13,0.163987464039607,0.0136929247570984,-184.622785678973,373.245571357946,3.0391224939804,15.0884387960003,-177.601136297249,359.202272594498,7.02164938172405
"BY4742","MATalpha","YPD + 62 uM CuSO4 * 5 H2O",30,140,24.8,10.9414399378541,25,0.0746119246997492,0.00942525353226677,-533.958168985587,1071.91633797117,2.33380968974729,27.7390244973282,-536.968647556612,1077.93729511322,-3.01047857102526
"BY4742","MATalpha","3% Gly + 62 uM CuSO4 * 5 H2O",30,120,30.375,13.0416672259958,28,0.0527813621035254,0.00944470280127293,-487.088089812885,978.17617962577,2.48121328013265,34.3087301208721,-473.005537492185,950.011074984371,14.0825523206996
"BY4742","MATalpha","0.005% D",30,299,25.123745819398,9.79323513340349,25,0.0740243227919912,0.00955132819961632,-1133.60081336233,2271.20162672466,2.73400250872431,28.2463927632815,-1100.19080693942,2204.38161387885,33.4100064229087
"BY4742","MATalpha","0.05% D + 62 uM CuSO4 * 5 H2O",30,100,28.57,11.7088026973752,29,0.0778528752843694,0.0061166520700619,-387.248373978111,778.496747956222,2.68389586466847,32.1529893111247,-386.182356390219,776.364712780439,1.06601758789185
"BY4743","diploid","3% Gly",30,79,33.126582278481,13.1064351864888,32,0.0606637173686214,0.00635835244788344,-319.823943513234,643.647887026469,2.72397485758099,37.2490397394608,-313.520613482861,631.041226965721,6.30333003037367
"BY4742","MATalpha","SD 2% D",30,219,25.5159817351598,11.9691296472812,24,0.06182526393652,0.011240065475018,-856.451745444693,1716.90349088939,2.24037170565674,28.7448883666066,-849.53020810073,1703.06041620146,6.921537343963
"BY4743","diploid","YPD + CLS82 Day 4 SC 2% D Replicate B",30,100,26.22,11.7916080414005,25.5,0.0776693491308566,0.00758778611397297,-384.47250770009,772.945015400181,2.2541094980645,29.23430691768,-393.192597927837,790.385195855673,-8.72009022774614
"BY4743","diploid","YPD + CLS82 Day 4 SC 2% D Replicate C",30,102,27.0686274509804,13.5743349883036,26.5,0.061653630103446,0.00962526007894314,-405.397522338809,814.795044677618,2.03244707700009,30.3387641020247,-410.700975686103,825.401951372206,-5.30345334729424
"BY4743","diploid","0.5% D",30,79,34.4303797468354,11.0426719456886,34,0.0880505681577364,0.00279172519968371,-304.10894838993,612.217896779859,3.49563753673134,38.283383463138,-300.952731395664,605.905462791328,3.15621699426532
"BY4743","diploid","YPD + CLS82 Day 16 SC 2% D Replicate B",30,59,11.0169491525424,11.0086040416415,7,0.00114586658442997,0.0896357936536185,-200.563219559728,405.126439119456,0.922971044491692,10.6156056804404,-200.260535074719,404.521070149438,0.302684485008655
"BY4743","diploid","YPD + CLS82 Day 16 SC 2% D Replicate C",30,61,13.8032786885246,11.8375386970591,11,0.0184778357712825,0.0571653397867423,-220.011975780886,444.023951561772,1.07036978506193,14.1551998710314,-220.912871439006,445.825742878013,-0.900895658120248
"tor1","MATalpha","3% Gly",30,99,20.4545454545455,9.71772284495088,19,0.0598214202726803,0.0187831195217716,-371.366499615523,746.732999231047,2.2108670621052,23.0685131687996,-361.230788427318,726.461576854636,10.1357111882053
