"sd.rgompertz","current.seed","scale","sderr","Delta_LL","G","R","LWei","LGomp","MeanLF","Delta_LL.flex","LWei.flex","LGomp.flex","G.flex.estimated","R.flex.estimated","LLG.par","LLR.par","gamma.flex.estimated","theta.flex.estimated"
7.90302444015374,12345,1,7.90302444015374,21.9123183371885,0.15,0.001,-7545.73506023933,-7567.64737857652,30.1558245083207,21.9124521686481,-7545.73504661559,-7567.64749878424,0.0871870372016352,0.00431658284721819,-2.43917740841404,-5.44669680498775,3.06287455247402,33.6670104752585
8.25298819754427,12345,2,16.5059763950885,-0.029858536438951,0.15,0.001,-7804.56080711115,-7804.53094857471,32.0322061191626,-0.0298504899810723,-7804.56078613154,-7804.53093564156,0.0433492734160179,0.0102789248237739,-3.13779581847873,-4.5783274285486,2.01918605231995,35.9642994309272
7.96626232570942,12345,3,23.8987869771283,-31.6563618991204,0.15,0.001,-7719.17656176872,-7687.5201998696,35.0312855517634,-31.6565763301514,-7719.17636918066,-7687.51979285051,0.0301804627812263,0.0119151123082884,-3.49943847469909,-4.43219929942447,1.69080059979872,39.0574438424185
7.10591467939244,12345,0,0,-94.4991021071564,0.17,0.001,-6713.93375490036,-6619.4346527932,27.1390695347674,-94.4989953837339,-6713.93361376606,-6619.43461838232,0.170772992927267,0.000962521233802877,-1.76759958559773,-6.94524751220008,4.63110509720308,29.6771081157635
7.08810843008294,12345,0.1,0.708810843008294,-102.241777901775,0.17,0.001,-6731.73811131721,-6629.49633341543,26.8934467233617,-102.241624969052,-6731.73793401393,-6629.49630904488,0.168786413814379,0.00105348158159973,-1.77902613653886,-6.8561911795903,4.52963760109002,29.4010170491407
7.09515331033375,12345,0.2,1.41903066206675,-97.346009840825,0.17,0.001,-6786.20051424501,-6688.85450440419,27.0305,-97.3457402421263,-6786.20024051027,-6688.85450026814,0.164188830099052,0.00113339988206918,-1.80679037901165,-6.78231477403605,4.43047724697724,29.6108977467858
6.93576675025704,12345,0.3,2.08073002507711,-56.271641736761,0.17,0.001,-6772.789533403,-6716.51789166624,27.1876876876877,-56.2714232560338,-6772.78928138434,-6716.51785812831,0.158901535142221,0.00125353732534963,-1.83959732133672,-6.68114025277104,4.43347229276088,29.7948500535581
7.30456306540814,12345,0.4,2.92182522616326,-72.9312321629995,0.17,0.001,-6925.4229246597,-6852.4916924967,26.9624060150376,-72.9311545484152,-6925.42283222796,-6852.49167767954,0.144902580209598,0.00176120834188514,-1.93160562882608,-6.34215985471554,4.02757983906383,29.663731186276
7.07802168944823,12345,0.5,3.53901084472412,-15.0216865591256,0.17,0.001,-6928.71731062473,-6913.6956240656,27.3421976919217,-15.0216835681358,-6928.71727458731,-6913.69559101917,0.138018422384736,0.00194456642654449,-1.9802246108728,-6.24331792402595,4.00901198502985,30.1274267260986
7.25957787257264,12345,0.6,4.35574672354358,-40.4986562765407,0.17,0.001,-7109.41831391148,-7068.91965763494,27.0860860860861,-40.4985776875428,-7109.41793216418,-7068.91935447664,0.125850294951948,0.00261421973058955,-2.07239442359374,-5.94815453571265,3.65284853014887,29.9686432797285
7.1722192931258,12345,0.7,5.02055350518806,-20.058954580405,0.17,0.001,-7095.48516035807,-7075.42620577766,26.9788732394366,-20.0587273555293,-7095.48490062077,-7075.42617326524,0.122848303215613,0.002813358550436,-2.09674288721576,-5.87341589252768,3.56851013034756,29.9155044978295
6.89779298820302,12345,1,6.89779298820302,16.9753240031332,0.17,0.001,-7295.77383271351,-7312.74915671664,27.3860090588827,16.975352732291,-7295.77379574124,-7312.74914847353,0.101918126313228,0.00420522593782228,-2.28352645760721,-5.47152889466221,3.20158700994908,30.5013619253747
