"sd.rnormal","current.seed","scale","sderr","Delta_LL","mean_in","LWei","LGomp","MeanLF","Delta_LL.flex","LWei.flex","LGomp.flex","G.flex.estimated","R.flex.estimated","LLG.par","LLR.par","gamma.flex.estimated","theta.flex.estimated"
2.00789404839062,12345,2,2,38.1042756797779,50,-4382.71948598596,-4420.82376166574,50.0025,38.1043921672772,-4382.71932676638,-4420.82371893365,0.49085722387668,6.5307439713027e-12,-0.711747620302825,-25.7509419087735,25.2350752368623,50.977901120648
2.98061862018504,12345,3,3,52.9718983963221,50,-5132.28360054556,-5185.25549894188,50.0365,52.9719439178198,-5132.28345338954,-5185.25539730736,0.335283919641585,1.0529746906164e-08,-1.09293998438302,-18.3665579155299,17.4527295420278,51.4414920565003
4.04710313948408,12345,4,4,66.2979681815523,50,-5729.4520262614,-5795.74999444295,49.9845,66.2980031530024,-5729.45195930172,-5795.74996245472,0.248029852791195,6.18786970981572e-07,-1.3940779881086,-14.2970982045898,13.0043400097573,51.856844899197
4.84039376350202,12345,5,5,78.9193764949177,50,-6073.11242686951,-6152.03180336443,49.868,78.919436096442,-6073.11235018284,-6152.03178627928,0.207061859644942,4.11116572885661e-06,-1.57465142992162,-12.4027927601706,10.9355146184253,52.0651721273329
0.985715561462941,20160711,1,1,120.615091334282,5,-2905.62484592142,-3026.2399372557,5.036,120.615185129011,-2905.62456000087,-3026.23974512988,0.975099174804419,0.00441071130852076,-0.0255386842808252,-5.42222410002848,5.42216887290748,5.45070160732424
2.00705744328281,20160711,2,2,91.0743371643075,5,-4094.18652090546,-4185.26085806977,5.04962025316456,91.0743225738411,-4094.18648664341,-4185.26080921725,0.441297595008079,0.0351695306856394,-0.818129946960722,-3.34703611653948,2.82765427329031,5.66903055521678
3.03990271714252,20160711,3,3,42.2493449726735,5,-4400.39805268262,-4442.64739765529,5.36847767616998,42.2492903013508,-4400.39803061554,-4442.64732091689,0.271082419913821,0.0581301284963568,-1.30504717135918,-2.8451936910367,2.11013776742624,6.06010166537533
3.97599143437696,20160711,4,4,55.0001467496859,5,-4436.50425789883,-4491.50440464852,6.03542857142857,55.000173324398,-4436.50418561379,-4491.50435893819,0.199802971476029,0.0625099083027197,-1.61065657321959,-2.77221176757796,1.95191002514177,6.80838624412126
5.01577352770805,20160711,5,5,35.2956851773342,5,-4459.53398669751,-4494.82967187484,6.74530018192844,35.2957568608699,-4459.53390333517,-4494.82966019604,0.151879416065762,0.0639173883161998,-1.88473742512427,-2.75023757044646,1.78690737584616,7.58207400141623
0.99436461792887,20160711,1,1,88.7710447346371,10,-2987.21959984343,-3075.99064457807,9.9595,88.7710205595063,-2987.21955180374,-3075.99057236325,0.959566930567614,4.12943948579258e-05,-0.0411371756339482,-10.0963552615404,10.1888081411362,10.4258541886706
2.00712319392249,20160711,2,2,122.84444122379,10,-4273.71229209349,-4396.55673331728,10.0545,122.844757785379,-4273.71192964825,-4396.55668743362,0.491219545115795,0.00216086804169996,-0.710994480080617,-6.13672478901522,5.46032447645389,10.8785394407818
3.0094193746199,20160711,3,3,105.449428540838,10,-5023.61857731785,-5129.06800585869,9.85728592889334,105.449388550775,-5023.61852365328,-5129.06791220406,0.316138709127871,0.00923590938670402,-1.15137441721812,-4.68508340931225,3.64024830162498,10.9275291492117
3.99325194971405,20160711,4,4,50.1193842293496,10,-5503.58380503393,-5553.70318926328,10.3276209677419,50.1194284735575,-5503.58376777219,-5553.70319624575,0.231494788280101,0.0151465553058016,-1.46318525434008,-4.19009757062411,2.90507996958009,11.5684928288718
5.09404605865581,20160711,5,5,60.237030809124,10,-5726.41075144436,-5786.64778225349,10.6120867768595,60.2369556072363,-5726.41069970785,-5786.64765531509,0.164650231144807,0.0238456573762311,-1.80319661837509,-3.73716891842403,2.38144616297147,11.9581640288982
0.991754257553019,20160711,1,1,64.9293073722979,15,-3014.05819667101,-3078.98750404331,14.991,64.929494913642,-3014.05796884917,-3078.98746376281,0.956049091561575,3.47804322123352e-07,-0.0450133585421539,-14.870484783587,15.0201696998458,15.4733418984326
1.99950989674116,20160711,2,2,126.063363239467,15,-4315.13040327267,-4441.19376651213,15.03,126.063289616319,-4315.13031800276,-4441.19360761908,0.476289735358143,0.000229586307252601,-0.74146285901315,-8.38104538115724,7.87625165768492,15.9084059681793
2.95208303569248,20160711,3,3,147.782801951764,15,-5054.846858761,-5202.62966071277,14.986,147.782965947957,-5054.84665741935,-5202.62962336731,0.323851392024828,0.00157334624942709,-1.12752491390246,-6.45446602104899,5.44942899106572,16.2000045223308
4.03515079679803,20160711,4,4,137.035261499201,15,-5641.35169724036,-5778.38695873956,15.063,137.035286877878,-5641.35164641026,-5778.38693328814,0.233631498972195,0.00447886903217547,-1.45389290041879,-5.40886040942354,4.09361421400478,16.5775686932596
4.9942604160049,20160711,5,5,103.059411036535,15,-6063.38977525796,-6166.44918629449,15.0945,103.059401706092,-6063.38974934517,-6166.44915105126,0.179980382573623,0.00823025346855285,-1.71506720901461,-4.79954511421424,3.3029388600597,16.8024097925696
0.970623849289319,20160711,1,1,49.2477619890133,20,-2981.17657695825,-3030.42433894726,19.987,49.2477602676604,-2981.17654493992,-3030.42430520758,0.979815711726933,1.86726936931717e-09,-0.0205134759244691,-20.0964416455671,20.3033883311956,20.4670303662486
2.02271060864561,20160711,2,2,82.2161180100411,20,-4344.69628119466,-4426.9123992047,20.082,82.2160559269896,-4344.6962447165,-4426.91230064349,0.490808092601686,1.55742819036263e-05,-0.711874027119933,-11.0680369488554,10.4451035933992,21.0045666055992
3.00200975440338,20160711,3,3,120.574956129671,20,-5102.10339714481,-5222.67835327448,19.9455,120.574972491483,-5102.10336673765,-5222.67833922913,0.325932339687717,0.000299851374271366,-1.1210073887637,-8.11251271778874,7.10807360012123,21.2407932243391
3.9608112607955,20160711,4,4,112.73461480572,20,-5609.76318769492,-5722.49780250064,19.9735,112.734661571079,-5609.76312776333,-5722.49778933441,0.253853055023554,0.000976453998235834,-1.37105680489523,-6.93120829053309,5.5842730054018,21.5806978194578
